"Value, Farad",mfr pn,"voltage, temp","Tolerance, %"
15 pF,GRM2165C1H150JZ01D,50V C0G,5%
22 pF,GRM2165C1H220JZ01D,50V C0G,5%
27 pF,GRM2165C1H270JZ01D,50V C0G,5%
33 pF,GRM2165C1H330JZ01D,50V C0G,5%
47 pF,GRM2165C1H470JZ01D,50V C0G,5%
68 pF,GRM2165C1H680JZ01D,50V C0G,5%
82 pF,GRM2165C1H820JZ01D,50V C0G,5%
100 pF,GRM2165C1H101JA01D,50V C0G,5%
120 pF,GRM2165C1H121JA01D,50V C0G,5%
150 pF,GRM2165C1H151JA01D,50V C0G,5%
180 pF,GRM2165C1H181JA01D,50V C0G,5%
220 pF,GRM216R71H221KA01D,50V X7R,10%
1 nF,GRM216R71H102KA01D,50V X7R,10%
10 nF,GRM216R71H103KA01D,50V X7R,10%
100 nF,GRM21BR71E104KA01L,25V X7R,10%
470 nF,GRM21BR71H474KA88L,50V X7R,10%
1 ?F,GRM21BR71A105KA01L,10V X7R,10%
